,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
280,Nissan,2005,Foreign Used,275968,4000,Petrol,Automatic,"3,150,000",SUV
281,Toyota,2015,Nigerian Used,108760,1800,Petrol,Automatic,"4,745,000",
282,Toyota,2009,Nigerian Used,221767,2400,Petrol,Automatic,"2,835,000",
283,Toyota,2009,Nigerian Used,187805,1800,Petrol,Automatic,"2,940,000",
284,Pontiac,2009,Nigerian Used,263189,3400,Petrol,Automatic,"3,675,000",SUV
285,Lexus,2007,Nigerian Used,178631,3500,Petrol,Automatic,"4,160,000",
286,Toyota,2009,Nigerian Used,332522,1800,Petrol,Automatic,"3,640,000",
287,Honda,2013,Nigerian Used,122192,3500,Petrol,Automatic,"6,760,000",
288,Infiniti,2013,Nigerian Used,85181,3500,Petrol,Automatic,"6,825,000",SUV
289,Hyundai,2011,Nigerian Used,312612,2400,Petrol,Automatic,"3,260,250",
290,Nissan,2014,Nigerian Used,67821,1800,Petrol,Automatic,"4,725,000",
291,Mercedes-Benz,2015,Nigerian Used,200818,2000,Petrol,Automatic,"9,450,000",
292,Mercedes-Benz,2008,Nigerian Used,434317,3500,Petrol,Automatic,"5,200,000",
293,Mitsubishi,2013,Nigerian Used,162472,3500,Petrol,Automatic,"5,565,000",SUV
294,Lexus,2008,Nigerian Used,154521,3500,Petrol,Automatic,"3,255,000",
295,Lexus,2005,Foreign Used,100788,3300,Petrol,Automatic,"5,460,000",SUV
296,Hyundai,2014,Nigerian Used,51241,1600,Petrol,Automatic,"7,072,000",
297,Toyota,2010,Foreign Used,157496,2500,Petrol,Automatic,"4,294,500",
298,Toyota,2015,Nigerian Used,108760,1800,Petrol,Automatic,"4,745,000",
299,Toyota,2009,Nigerian Used,311233,1800,Petrol,Automatic,"3,432,000",
300,Lexus,2004,Nigerian Used,131086,3300,Petrol,Automatic,"3,780,000",SUV
301,Pontiac,2004,Foreign Used,226374,1800,Petrol,Automatic,"3,150,000",
302,Lexus,2004,Nigerian Used,121049,4700,Petrol,Automatic,"13,125,000",SUV
303,Mazda,2009,Nigerian Used,215237,2300,Petrol,Automatic,"2,625,000",
304,Hyundai,2011,Nigerian Used,59969,2400,Petrol,Automatic,"3,536,000",
305,Toyota,2010,Nigerian Used,146107,1800,Petrol,Automatic,"3,536,000",
306,Toyota,2011,Foreign Used,174345,3600,Petrol,Automatic,"4,888,000",
307,Mercedes-Benz,2006,Nigerian Used,194642,5000,Petrol,Automatic,"3,570,000",SUV
308,Toyota,2005,Nigerian Used,121563,3500,Petrol,Automatic,"3,120,000",SUV
309,Toyota,2010,Nigerian Used,188616,1800,Petrol,Automatic,"3,352,000",
310,Toyota,2006,Nigerian Used,125815,2400,Petrol,Automatic,"3,328,000",
311,Toyota,2014,Nigerian Used,75000,1800,Petrol,Automatic,"5,564,000",
312,Kia,2015,Nigerian Used,147773,2000,Petrol,Automatic,"4,200,000",SUV
313,Toyota,2009,Nigerian Used,221767,2400,Petrol,Automatic,"2,835,000",
314,Honda,2011,Nigerian Used,201329,2000,Petrol,Automatic,"3,328,000",
